Rank,Image,Part ID,Part Name,# Colors,# Pieces,Blender Dimensions
1,,4073,"1×1 Plate, Round",48,38855,"(0.2, 0.2, 0.12)"
2,,3023,1×2 Plate,52,34615,"(0.4, 0.2, 0.12)"
3,,3024,1×1 Plate,47,27101,"(0.2, 0.2, 0.12)"
4,,98138,"1×1 Tile, Round",53,25545,"(0.2, 0.2, 0.08)"
5,,2780,Technic Pin with Friction Ridges Lengthwise and Center Slots,1,21347,"(0.4, 0.16, 0.156)"
6,,3069b,1×2 Tile,48,14231,"(0.4, 0.2, 0.08)"
7,,3710,1×4 Plate,36,13556,"(0.8, 0.2, 0.12)"
8,,54200,1×1 Slope 30° (Cheese),52,13098,"(0.2, 0.2, 0.156)"
9,,3004,1×2 Brick,40,12848,"(0.4, 0.2, 0.28)"
10,,3005,1×1 Brick,50,11845,"(0.2, 0.2, 0.28)"
11,,3020,2×4 Plate,39,11391,"(0.8, 0.4, 0.12)"
12,,3022,2×2 Plate,33,10952,"(0.4, 0.4, 0.12)"
13,,3070b,1×1 Tile,44,9823,"(0.2, 0.2, 0.08)"
14,,25269,Tile Round 1 x 1 Quarter,38,9236,"(0.2, 0.2, 0.08)"
15,,15573,1×2 Jumper,35,9177,"(0.4, 0.2, 0.12)"
16,,6558,"Technic Pin Long with Friction Ridges Lengthwise, 1 Center Slot",1,8889,"(0.6, 0.16, 0.156)"
17,,3021,2×3 Plate,31,8205,"(0.6, 0.4, 0.12)"
18,,3623,1×3 Plate,33,8146,"(0.6, 0.2, 0.12)"
19,,2412b,"1×2 Tile, Grille",23,8139,"(0.4, 0.2, 0.08)"
20,,3666,1×6 Plate,34,7497,"(1.2, 0.2, 0.12)"
21,,11477,2×1 Curved,40,7064,"(0.2, 0.4, 0.16)"
22,,3010,1×4 Brick,35,7023,"(0.8, 0.2, 0.28)"
23,,2431,1×4 Tile,43,6858,"(0.8, 0.2, 0.08)"
24,,85984,1×2 Slope 30° (Double Cheese),36,6738,"(0.4, 0.2, 0.156)"
25,,2420,"2×2 Plate, Corner",23,6695,"(0.4, 0.4, 0.12)"
26,,15068,2×2 Curved,38,6456,"(0.4, 0.4, 0.1598)"
27,,4274,Technic Pin 1/2,2,6345,"(0.24, 0.16, 0.16)"
28,,3001,2×4 Brick,30,6332,"(0.8, 0.4, 0.28)"
29,,3003,2×2 Brick,37,6280,"(0.4, 0.4, 0.28)"
30,,85861,"1×1 Plate, Round w/ hole",19,6278,"(0.2, 0.2, 0.12)"
31,,3062b,Brick Round 1 x 1 Open Stud,35,6000,"(0.2, 0.2, 0.28)"
32,,87079,2×4 Tile,38,5594,"(0.8, 0.4, 0.08)"
33,,3795,2×6 Plate,31,5382,"(1.2, 0.4, 0.12)"
34,,3068b,2×2 Tile,37,5313,"(0.4, 0.4, 0.08)"
35,,43093,Technic Axle Pin with Friction Ridges Lengthwise,1,5005,"(0.4, 0.16, 0.16)"
36,,4032,"2×2 Plate, Round w/ Axle",26,4843,"(0.4, 0.4, 0.12)"
37,,87580,2×2 Jumper,36,4785,"(0.4, 0.4, 0.12)"
38,,24866,"Plant, Flower, Plate Round 1 x 1 with 5 Petals",18,4701,"(0.1985, 0.1954, 0.12)"
39,,6636,1×6 Tile,29,4514,"(1.2, 0.2, 0.08)"
40,,3040,2×1 Slope 45°,35,4347,"(0.2, 0.4, 0.28)"
41,,15712,"1×1 Clip, Top",19,4225,"(0.2, 0.2, 0.18)"
42,,3622,1×3 Brick,31,4115,"(0.6, 0.2, 0.28)"
43,,63864,1×3 Tile,32,3974,"(0.6, 0.2, 0.08)"
44,,87087,"1×1 Brick, Stud 1-side",29,3904,"(0.2, 0.24, 0.28)"
45,,99780,"1×2 Bracket, Inverted",18,3875,"(0.4, 0.28, 0.2)"
46,,4070,"1×1 Brick, Headlight",19,3828,"(0.2, 0.2, 0.2802)"
47,,32062,Technic Axle 2 Notched,2,3813,"(0.4, 0.12, 0.12)"
48,,3460,1×8 Plate,30,3795,"(1.6, 0.2, 0.12)"
49,,99207,"2×2 Bracket, Inverted",17,3648,"(0.4, 0.28, 0.4)"
50,,32028,1×2 Plate w/ Door Rail,18,3470,"(0.4, 0.29, 0.12)"
51,,4589,1×1 Cone,34,3440,"(0.1988, 0.1988, 0.28)"
52,,22885,"1×2×1⅔ Brick, 4 Studs 1-side",12,3356,"(0.4, 0.24, 0.44)"
53,,3009,1×6 Brick,29,3330,"(1.2, 0.2, 0.28)"
54,,6091,1×2×1⅔ Curved,32,3132,"(0.2, 0.4, 0.3197)"
55,,2877,Brick Special 1 x 2 with Grill,11,3115,"(0.4, 0.1959, 0.28)"
56,,3941,"2×2 Brick, Round w/ Axle",34,3094,"(0.4, 0.4, 0.28)"
57,,2357,"2×2 Brick, Corner",22,3087,"(0.4, 0.4, 0.28)"
58,,11211,"1×2 Brick, 2 Studs 1-side",19,3064,"(0.4, 0.24, 0.28)"
59,,32123,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,3,2989,"(0.18, 0.1, 0.18)"
60,,3034,2×8 Plate,31,2953,"(1.6, 0.4, 0.12)"
61,,4162,1×8 Tile,27,2917,"(1.6, 0.2, 0.08)"
62,,44728,2×2 Bracket,19,2870,"(0.4, 0.28, 0.44)"
63,,4085,Plate Special 1 x 1 with Clip Vertical [Thin Open O Clip],15,2781,"(0.2002, 0.34, 0.12)"
64,,35480,Plate Special 1 x 2 Rounded with 2 Open Studs,17,2763,"(0.4, 0.2, 0.12)"
65,,99206,Plate Special 2 x 2 x 0.667 with Two Studs On Side and Two Raised,18,2749,"(0.4, 0.44, 0.2)"
66,,32054,Technic Pin Long with Friction Ridges Lengthwise and Stop Bush [Ridge Near Rim],7,2746,"(0.6, 0.18, 0.18)"
67,,41740,Plate Special 1 x 4 with 2 Studs with Groove [New Underside],27,2712,"(0.8, 0.2, 0.12)"
68,,3039,2×2 Slope 45°,30,2694,"(0.4, 0.4, 0.28)"
69,,30136,"1×2 Brick, Log (Palisade)",14,2651,"(0.4, 0.2, 0.28)"
70,,3660,"2×2 Slope 45°, Inverted",29,2634,"(0.4, 0.4, 0.28)"
71,,2654,"2×2 Round, Boat Stud",26,2606,"(0.4, 0.4, 0.12)"
72,,3700,"1×2 Technic Brick, 1 Hole",19,2558,"(0.4, 0.2, 0.28)"
73,,98283,"1×2 Brick, Masonry",9,2508,"(0.4, 0.2, 0.28)"
74,,3665,"2×1 Slope 45°, Inverted",31,2507,"(0.2, 0.4, 0.28)"
75,,20482,Tile Round 1 x 1 with Hollow Bar,17,2497,"(0.2, 0.2, 0.16)"
76,,18654,Technic Pin Connector Round 1L [Beam],16,2446,"(0.18, 0.18, 0.2)"
77,,4519,Technic Axle 3,2,2426,"(0.6, 0.12, 0.12)"
78,,92280,"1×2 Plate w/ Clip, Top",10,2414,"(0.4, 0.2, 0.18)"
79,,59443,Technic Axle Connector,12,2396,"(0.17, 0.4, 0.1745)"
80,,92946,Slope 45┬░ 2 x 1 with 2/3 Cutout [New Version],23,2356,"(0.2, 0.4, 0.24)"
81,,60478,"1×2 Plate w/ Handle, End",19,2289,"(0.56, 0.2, 0.12)"
82,,63868,"1×2 Plate w/ Clip End, Horizontal",15,2264,"(0.5403, 0.2001, 0.1515)"
83,,32952,Brick Special 1 x 1 x 1 2/3 with Studs on 1 Side,20,2249,"(0.2, 0.24, 0.44)"
84,,33909,Plate Special 2 x 2 with Only 2 studs,13,2217,"(0.4, 0.4, 0.12)"
85,,3713,Technic Bush,3,2200,"(0.18, 0.2, 0.18)"
86,,99781,Bracket 1 x 2 – 1 x 2,18,2180,"(0.4, 0.28, 0.24)"
87,,93273,"4×1 Curved, Double",33,2144,"(0.2, 0.8, 0.16)"
88,,99563,Money / Gold Bar [Ingot],13,2138,"(0.4, 0.2, 0.08)"
89,,48336,"1×2 Plate w/ Handle, Side",12,2134,"(0.4, 0.36, 0.12)"
90,,3245c,Brick 1 x 2 x 2 with Inside Stud Holder,17,2086,"(0.4, 0.2, 0.52)"
91,,3031,Plate 4 x 4,21,2026,"(0.8, 0.8, 0.12)"
92,,4477,1×10 Plate,19,1991,"(2.0, 0.2, 0.12)"
93,,61252,Plate Special 1 x 1 with Clip Horizontal [Thick U Clip],19,1988,"(0.2, 0.3403, 0.1515)"
94,,11214,Technic Axle Pin 3L with Friction Ridges Lengthwise and 1L Axle,2,1970,"(0.6, 0.16, 0.16)"
95,,50950,3×1 Curved,32,1885,"(0.2, 0.6, 0.2397)"
96,,32064,"1×2 Technic Brick, 1 Axle Hole",15,1882,"(0.4, 0.2, 0.28)"
97,,24201,Slope Curved 2 x 1 Inverted,22,1868,"(0.2, 0.4, 0.1993)"
98,,3673,Technic Pin without Friction Ridges Lengthwise,2,1828,"(0.4, 0.16, 0.16)"
99,,87994,Bar 3L,11,1773,"(0.08, 0.08, 0.6)"
100,,61409,Slope 18┬░ 2 x 1 x 2/3 with 4 Slots,17,1767,"(0.2, 0.4, 0.1539)"
101,,27925,"Tile 2 x 2 Curved, Macaroni",30,1730,"(0.3998, 0.3998, 0.08)"
102,,26601,Wedge Plate 2 x 2 Cut Corner,21,1716,"(0.4, 0.4, 0.12)"
103,,6541,Technic Brick 1 x 1 with Hole,18,1716,"(0.2, 0.2, 0.28)"
104,,3002,2×3 Brick,18,1670,"(0.6, 0.4, 0.28)"
105,,62462,Technic Pin Connector Round [Slotted],21,1670,"(0.4, 0.18, 0.18)"
106,,30414,Brick Special 1 x 4 with 4 Studs on One Side,13,1667,"(0.8, 0.24, 0.28)"
107,,3032,Plate 4 x 6,23,1662,"(1.2, 0.8, 0.12)"
108,,24246,Tile 1 x 1 Half Circle,31,1649,"(0.2, 0.2, 0.08)"
109,,18674,Plate Special Round 2 x 2 with Center Stud (Jumper Plate),17,1626,"(0.4, 0.4, 0.12)"
110,,26603,2×3 Tile,23,1607,"(0.6, 0.4, 0.08)"
111,,48729,Bar 1L with Clip [Cut Edges and One Side Hole],7,1603,"(0.22, 0.08, 0.383)"
112,,2540,Plate Special 1 x 2 Side Handle [Free Ends],15,1574,"(0.4, 0.36, 0.12)"
113,,32523,Technic Beam 1 x 3 Thick,19,1568,"(0.18, 0.58, 0.2)"
114,,32316,Technic Beam 1 x 5 Thick,20,1567,"(0.18, 0.98, 0.2)"
115,,61678,Slope Curved 4 x 1 No Studs [Stud Holder with Symmetric Ridges],28,1562,"(0.2, 0.8, 0.2397)"
116,,26047,Plate 1 x 1 Rounded with Handle,9,1545,"(0.2, 0.36, 0.12)"
117,,60483,Technic Beam 1 x 2 Thick with Pin Hole and Axle Hole,10,1533,"(0.18, 0.38, 0.2)"
118,,32000,Technic Brick 1 x 2 [2 Holes],9,1528,"(0.4, 0.2, 0.28)"
119,,32607,"Plant, Plate 1 x 1 Round with 3 Leaves",9,1522,"(0.376, 0.358, 0.12)"
120,,6536,Technic Axle and Pin Connector Perpendicular,13,1521,"(0.2, 0.2, 0.38)"
121,,32140,Technic Beam 2 x 4 L-Shape Thick,15,1521,"(0.38, 0.78, 0.2)"
122,,11476,Plate Special 1 x 2 with Clip Horizontal on Side,19,1511,"(0.4, 0.3403, 0.1515)"
123,,30374,Bar 4L (Lightsaber Blade / Wand),18,1492,"(0.08, 0.08, 0.8)"
124,,28192,Slope 45┬░ 2 x 1 with 2/3 Inverted Cutout and no stud,22,1489,"(0.2, 0.4, 0.24)"
125,,14769,"2×2 Tile, Round",27,1486,"(0.4, 0.4, 0.08)"
126,,15100,Technic Pin Connector Hub with 1 Pin with Friction Ridges Lengthwise,8,1463,"(0.39, 0.18, 0.2)"
127,,3832,2×10 Plate,16,1460,"(2.0, 0.4, 0.12)"
128,,4865,Panel 1 x 2 x 1 [Square Corners],24,1449,"(0.4, 0.2001, 0.24)"
129,,4286,Slope 33┬░ 3 x 1,24,1428,"(0.2, 0.6, 0.28)"
130,,32524,Technic Beam 1 x 7 Thick,18,1393,"(0.18, 1.38, 0.2)"
131,,4740,2×2 Dish,26,1379,"(0.4, 0.4, 0.12)"
132,,18677,Plate Special 1 x 2 with Pin Hole,6,1378,"(0.4006, 0.2, 0.23)"
133,,60470,Plate Special 1 x 2 with Clips Horizontal [Open O Clips],10,1371,"(0.4, 0.34, 0.16)"
134,,11090,Bar Holder with Clip,14,1361,"(0.1515, 0.125, 0.3403)"
135,,11458,Plate Special 1 x 2 with Pin Hole on Top,19,1347,"(0.4, 0.2, 0.235)"
136,,32526,Technic Beam 3 x 5 L-Shape Thick,18,1307,"(0.58, 0.98, 0.2)"
137,,60592,Window 1 x 2 x 2 Flat Front,17,1306,"(0.4, 0.2, 0.52)"
138,,2456,2×6 Brick,19,1301,"(1.2, 0.4, 0.28)"
139,,3008,1×8 Brick,17,1291,"(1.6, 0.2, 0.28)"
140,,87552,Panel 1 x 2 x 2 [Side Supports / Hollow Studs],13,1269,"(0.4, 0.2, 0.52)"
141,,42003,Technic Axle and Pin Connector Perpendicular 3L with 2 Pin Holes,11,1265,"(0.2, 0.2, 0.58)"
142,,49307,"Brick Curved 1 x 1 x 2/3 Double Curved Top, No Studs",18,1262,"(0.2, 0.2, 0.16)"
143,,18651,Technic Axle Pin 3L with Friction Ridges Lengthwise and 2L Axle,1,1251,"(0.6, 0.16, 0.16)"
144,,11212,Plate 3 x 3,11,1226,"(0.6, 0.6, 0.12)"
145,,3749,Technic Axle Pin without Friction Ridges Lengthwise,1,1217,"(0.4, 0.16, 0.16)"
146,,30241,"Brick Special 1 x 1 with Clip Vertical [Open O Clip, Hollow Stud]",12,1214,"(0.0, 0.0, 0.0)"
147,,33291,"1×1 Plate, Flower (4 Petals)",15,1204,"(0.24, 0.24, 0.12)"
148,,34103,Plate Special 1 x 3 with 2 Studs with Groove and Inside Stud Holder (Jumper),20,1203,"(0.6, 0.2, 0.12)"
149,,41677,Technic Beam 1 x 2 Thin,7,1203,"(0.18, 0.38, 0.1)"
150,,2454,Brick 1 x 2 x 5 with Blocked Open Studs and Bottom Stud Holder with Asymmetric Ridges,19,1202,"(0.4, 0.2, 1.24)"
151,,60474,Plate Round 4 x 4 with Pin Hole,21,1201,"(0.8, 0.8, 0.12)"
152,,53451,"Animal Body Part, Barb / Claw / Tooth / Talon / Horn, Small",13,1196,"(0.1, 0.3409, 0.1439)"
153,,3705,Technic Axle 4,2,1190,"(0.8, 0.12, 0.12)"
154,,32013,Technic Axle and Pin Connector Angled #1,13,1189,"(0.2, 0.39, 0.18)"
